model,display_name,feature,raw_value,absolute_value,normalized_importance
gradient_boosting,Gradient boosting regressor,Melting Point_metal  (K),0.0,0.0,0.0
gradient_boosting,Gradient boosting regressor,Boiling Point_metal  (K),0.0,0.0,0.0
gradient_boosting,Gradient boosting regressor,First IE_metal  (kJ/mol),0.0,0.0,0.0
gradient_boosting,Gradient boosting regressor,Density_metal  (g/cm3),0.0,0.0,0.0
gradient_boosting,Gradient boosting regressor,Covalent Radius_metal,0.0,0.0,0.0
gradient_boosting,Gradient boosting regressor,Atomic Radius_metal,0.0,0.0,0.0
gradient_boosting,Gradient boosting regressor,Electron Affinity_metal  (kJ/mol),0.0,0.0,0.0
gradient_boosting,Gradient boosting regressor,Third IE_metal  (kJ/mol),0.0,0.0,0.0
gradient_boosting,Gradient boosting regressor,Second IE_metal  (kJ/mol),0.0,0.0,0.0
gradient_boosting,Gradient boosting regressor,Standard Entropy_metal (J/mol.K),0.0,0.0,0.0
gradient_boosting,Gradient boosting regressor,Pauling EN_metal,0.0,0.0,0.0
gradient_boosting,Gradient boosting regressor,Ionic Radius_metal,0.0,0.0,0.0
lasso,Lasso regression,Chi0(m),-4.94622333729807,4.94622333729807,0.15847702202467598
lasso,Lasso regression,NumValenceElectrons(m),4.680712672817486,4.680712672817486,0.14997005892307427
lasso,Lasso regression,NOCount(m),-4.548003894325512,4.548003894325512,0.14571806895461706
lasso,Lasso regression,PEOE_VSA2(m),3.526050012704608,3.526050012704608,0.11297466115404865
lasso,Lasso regression,TPSA(m),2.2115939147650043,2.2115939147650043,0.07085948078747902
lasso,Lasso regression,Molar Mass_medium (g/mol),-1.311864263080686,1.311864263080686,0.04203213796390987
lasso,Lasso regression,PEOE_VSA14(m),1.2735890299448869,1.2735890299448869,0.04080579929074047
lasso,Lasso regression,Melting Point_medium (K),-1.086640875444392,1.086640875444392,0.03481597942659508
lasso,Lasso regression,SMR_VSA3(m),1.0771465567434606,1.0771465567434606,0.034511781404938685
lasso,Lasso regression,SMR_VSA1(m),1.0372814991588877,1.0372814991588877,0.03323450474797793
lasso,Lasso regression,EState_VSA10(m),-0.9919909256247303,0.9919909256247303,0.031783394531146585
lasso,Lasso regression,VSA_EState2(m),-0.938996885423002,0.938996885423002,0.03008546520132915
lasso,Lasso regression,NumRotatableBonds(m),0.7458151667001705,0.7458151667001705,0.023895921906358034
lasso,Lasso regression,NumHAcceptors(m),0.7109127539892576,0.7109127539892576,0.022777648417534303
lasso,Lasso regression,Density_medium (kg/m3),-0.6798244021867219,0.6798244021867219,0.02178157746049324
lasso,Lasso regression,Kappa2(m),0.5721683711509814,0.5721683711509814,0.018332277653731986
lasso,Lasso regression,Concentration (M),-0.4787457337111832,0.4787457337111832,0.015339015853459577
lasso,Lasso regression,Temperature (K),-0.161378245292249,0.161378245292249,0.005170559837165339
lasso,Lasso regression,NumHeteroatoms(m),0.14928957133458676,0.14928957133458676,0.00478323865928984
lasso,Lasso regression,SlogP_VSA2(m),0.08275297632525472,0.08275297632525472,0.0026514058014349175
lasso,Lasso regression,Atomic Number_metal,0.0,0.0,0.0
lasso,Lasso regression,Outer shell electrons_metal,0.0,0.0,0.0
lasso,Lasso regression,Melting Point_metal  (K),0.0,0.0,0.0
lasso,Lasso regression,Boiling Point_metal  (K),0.0,0.0,0.0
lasso,Lasso regression,First IE_metal  (kJ/mol),0.0,0.0,0.0
lasso,Lasso regression,Density_metal  (g/cm3),0.0,0.0,0.0
lasso,Lasso regression,Covalent Radius_metal,0.0,0.0,0.0
lasso,Lasso regression,Atomic Radius_metal,0.0,0.0,0.0
lasso,Lasso regression,Electron Affinity_metal  (kJ/mol),0.0,0.0,0.0
lasso,Lasso regression,Third IE_metal  (kJ/mol),0.0,0.0,0.0
lasso,Lasso regression,Second IE_metal  (kJ/mol),0.0,0.0,0.0
lasso,Lasso regression,Standard Entropy_metal (J/mol.K),0.0,0.0,0.0
lasso,Lasso regression,Pauling EN_metal,0.0,0.0,0.0
